;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99;100;101;102;103;104;105;106;107;108;109;110;111;112;113;114;115;116;117;118;119;120;121;122;123;124;125;126;127;128;129;130;131;132;133;134;135;136;137;138;139;140
Turn on;8989;-4474;607;-1648;607;-607;607;-607;607;-607;607;-607;607;-1648;607;-607;607;-607;607;-607;607;-1648;607;-607;607;-1648;607;-607;607;-607;607;-607;607;-607;607;-607;607;-607;607;-607;607;-607;607;-607;607;-1648;607;-607;607;-607;607;-607;607;-607;607;-607;607;-607;607;-1648;607;-607;607;-1648;607;-607;607;-607;607;-1648;607;-607;607;-20027;607;-607;607;-607;607;-607;607;-607;607;-607;607;-607;607;-607;607;-607;607;-607;607;-607;607;-607;607;-607;607;-607;607;-1648;607;-607;607;-607;607;-607;607;-607;607;-607;607;-607;607;-607;607;-607;607;-607;607;-607;607;-607;607;-607;607;-607;607;-607;607;-1648;607;-1648;607;-1648;607;-607;133346;-7362662
Turn off;9012;-4473;609;-1649;609;-609;609;-609;609;-1649;609;-609;609;-1649;609;-609;609;-609;609;-609;609;-1649;609;-609;609;-1649;609;-609;609;-609;609;-609;609;-609;609;-609;609;-609;609;-609;609;-609;609;-609;609;-1649;609;-1649;609;-609;609;-609;609;-609;609;-609;609;-609;609;-1649;609;-609;609;-1649;609;-609;609;-609;609;-1649;609;-609;609;-19994;609;-609;609;-609;609;-609;609;-609;609;-609;609;-609;609;-609;609;-609;609;-609;609;-609;609;-609;609;-609;609;-609;609;-1649;609;-609;609;-609;609;-609;609;-609;609;-609;609;-609;609;-609;609;-609;609;-609;609;-609;609;-609;609;-609;609;-609;609;-609;609;-1649;609;-1649;609;-1649;609;-1649;129870;-1179223
Turn on - cool, 26, fan2;8985;-4472;607;-1653;607;-607;607;-607;607;-607;607;-607;607;-1653;607;-607;607;-607;607;-607;607;-1653;607;-607;607;-1653;607;-607;607;-607;607;-607;607;-607;607;-607;607;-607;607;-607;607;-607;607;-607;607;-1653;607;-607;607;-607;607;-607;607;-607;607;-607;607;-607;607;-1653;607;-607;607;-1653;607;-607;607;-607;607;-1653;607;-607;607;-19993;607;-607;607;-607;607;-607;607;-607;607;-607;607;-607;607;-607;607;-607;607;-607;607;-607;607;-607;607;-607;607;-607;607;-1653;607;-607;607;-607;607;-607;607;-607;607;-607;607;-607;607;-607;607;-607;607;-607;607;-607;607;-607;607;-607;607;-607;607;-607;607;-1653;607;-1653;607;-1653;607;-607;133757;-1103079
unknown;9010;-4472;609;-1648;609;-609;609;-609;609;-1648;609;-609;609;-1648;609;-609;609;-609;609;-609;609;-1648;609;-609;609;-1648;609;-609;609;-609;609;-609;609;-609;609;-609;609;-609;609;-609;609;-609;609;-609;609;-1648;609;-1648;609;-609;609;-609;609;-609;609;-609;609;-609;609;-1648;609;-609;609;-1648;609;-609;609;-609;609;-1648;609;-609;609;-19996;609;-609;609;-609;609;-609;609;-609;609;-609;609;-609;609;-609;609;-609;609;-609;609;-609;609;-609;609;-609;609;-609;609;-1648;609;-609;609;-609;609;-609;609;-609;609;-609;609;-609;609;-609;609;-609;609;-609;609;-609;609;-609;609;-609;609;-609;609;-609;609;-1648;609;-1648;609;-1648;609;-1648;129097;-4618438
Mode: Dry;9024;-4472;609;-609;609;-1649;609;-609;609;-1649;609;-1649;609;-609;609;-609;609;-609;609;-1649;609;-609;609;-609;609;-1649;609;-609;609;-609;609;-609;609;-609;609;-609;609;-609;609;-609;609;-609;609;-609;609;-1649;609;-1649;609;-609;609;-609;609;-609;609;-609;609;-609;609;-1649;609;-609;609;-1649;609;-609;609;-609;609;-1649;609;-609;609;-20007;609;-609;609;-609;609;-609;609;-609;609;-609;609;-609;609;-609;609;-609;609;-609;609;-609;609;-609;609;-609;609;-609;609;-1649;609;-609;609;-609;609;-609;609;-609;609;-609;609;-609;609;-609;609;-609;609;-609;609;-609;609;-609;609;-609;609;-609;609;-609;609;-1649;609;-1649;609;-1649;609;-1649;128634;-16777215
Mode: Fan;9012;-4469;607;-1650;607;-1650;607;-607;607;-1650;607;-1650;607;-1650;607;-607;607;-607;607;-607;607;-607;607;-607;607;-1650;607;-607;607;-607;607;-607;607;-607;607;-607;687;-607;607;-607;607;-607;607;-607;607;-1650;607;-1650;607;-607;607;-607;607;-607;607;-607;607;-607;607;-1650;607;-607;607;-1650;607;-607;607;-607;607;-1650;687;-607;607;-19992;607;-607;607;-607;607;-607;607;-607;607;-607;607;-607;607;-607;607;-607;607;-607;607;-607;607;-607;607;-607;607;-607;607;-1650;607;-607;607;-607;607;-607;607;-607;607;-607;607;-607;607;-607;607;-607;607;-607;607;-607;607;-607;687;-607;607;-607;687;-607;607;-1650;607;-1650;607;-1650;607;-1650;134270;-4813611
Mode: heat;9015;-4467;609;-609;609;-609;609;-1646;609;-1646;609;-609;609;-1646;609;-609;609;-609;609;-1646;609;-609;609;-1646;609;-1646;609;-609;609;-609;609;-609;609;-609;609;-609;609;-609;609;-609;609;-609;609;-609;609;-1646;609;-1646;609;-609;609;-609;609;-609;609;-609;609;-609;609;-1646;609;-609;609;-1646;609;-609;609;-609;609;-1646;609;-609;609;-19995;609;-609;609;-609;609;-609;609;-609;609;-609;609;-609;609;-609;609;-609;609;-609;609;-609;609;-609;609;-609;609;-609;609;-1646;609;-609;609;-609;609;-609;609;-609;609;-609;609;-609;609;-609;609;-609;609;-609;609;-609;609;-609;609;-609;609;-609;609;-609;609;-1646;609;-609;609;-1646;609;-609;134543;-2573885
Mode: auto;8981;-4480;608;-608;608;-608;608;-608;608;-1647;608;-608;608;-608;608;-608;608;-608;608;-1647;608;-608;608;-608;608;-1647;608;-608;608;-608;608;-608;608;-608;608;-608;608;-608;608;-608;608;-608;608;-608;608;-1647;608;-1647;608;-608;608;-608;608;-608;608;-608;608;-608;608;-1647;608;-608;608;-1647;608;-608;608;-608;608;-1647;608;-608;608;-23024;608;-608;608;-608;608;-608;608;-608;608;-608;608;-608;608;-608;608;-608;608;-608;608;-608;608;-608;608;-608;608;-608;608;-1647;608;-608;608;-608;608;-608;608;-608;608;-608;608;-608;608;-608;608;-608;608;-608;608;-608;608;-608;608;-608;608;-608;608;-608;608;-1647;608;-608;608;-1647;608;-1647;135044;-1935002
Mode: cool;8984;-4479;609;-1648;609;-609;609;-609;609;-1648;609;-609;609;-1648;609;-609;609;-609;609;-609;609;-1648;609;-609;609;-1648;609;-609;609;-609;609;-609;609;-609;609;-609;609;-609;609;-609;609;-609;609;-609;609;-1648;609;-1648;609;-609;609;-609;609;-609;609;-609;609;-609;609;-1648;609;-609;609;-1648;609;-609;609;-609;609;-1648;609;-609;609;-19986;609;-609;609;-609;609;-609;609;-609;609;-609;609;-609;609;-609;609;-609;609;-609;609;-609;609;-609;609;-609;609;-609;609;-1648;609;-609;609;-609;609;-609;609;-609;609;-609;609;-609;609;-609;609;-609;609;-609;609;-609;609;-609;609;-609;609;-609;609;-609;609;-1648;609;-1648;609;-1648;609;-1648;127745;-1457066
Temp neg (result 25);8996;-4469;608;-1650;608;-608;608;-608;608;-1650;608;-608;608;-1650;608;-608;608;-608;608;-1650;608;-608;608;-608;608;-1650;608;-608;608;-608;608;-608;608;-608;608;-608;608;-608;608;-608;608;-608;608;-608;608;-1650;608;-1650;608;-608;608;-608;608;-608;608;-608;608;-608;608;-1650;608;-608;608;-1650;608;-608;608;-608;608;-1650;608;-608;608;-19991;608;-608;608;-608;608;-608;608;-608;608;-608;608;-608;608;-608;608;-608;608;-608;608;-608;608;-608;608;-608;608;-608;608;-1650;608;-608;608;-608;608;-608;608;-608;608;-608;608;-608;608;-608;608;-608;608;-608;608;-608;608;-608;608;-608;608;-608;608;-608;608;-608;608;-1650;608;-1650;608;-1650;135253;-985366
